Question,Answer Status
I want to know what is 'understanding your it system better'?,Exist
"According to the PDF, what is 'windows remote assistance'?",Exist
"According to the PDF, what is 'screencasting'?",Exist
Who is the Greek god of the sea?,Not Exist
Tell me what is the capital of australia?,Not Exist
Where can I find what is the square root of 9801? in the PDF?,Not Exist
Does the book mention what is 'windows remote assistance'?,Exist
Is there information about who won the fifa world cup in 2022? in the document?,Not Exist
Can you tell me what is 'chrome remote desktop'?,Exist
What is the population of Tokyo?,Not Exist
Can you tell me what is 'realvnc'?,Exist
Does the PDF explain who discovered penicillin?,Not Exist
What is the distance between Earth and Mars?,Not Exist
I want to know what is the 'asset tag'?,Exist
Where can I find what is the lyrics to 'bohemian rhapsody'? in the PDF?,Not Exist
Where can I find how do you perform a heart transplant? in the PDF?,Not Exist
Does the PDF explain how do you solve a rubik's cube?,Not Exist
Tell me what is the boiling point of gold?,Not Exist
"According to the PDF, what is 'windows remote assistance'?",Exist
"According to the PDF, who is the coordinating editor of the book?",Exist
What is the capital of Australia?,Not Exist
"According to the PDF, what is 'screencasting'?",Exist
I want to know what is 'screencasting'?,Exist
Where can I find who painted the mona lisa? in the PDF?,Not Exist
Does the PDF explain what is the history of the great wall of china?,Not Exist
Does the PDF explain who was the first person to walk on the moon?,Not Exist
How many moons does Jupiter have?,Not Exist
Does the book mention what is the name of the 'reborn psion' device mike halsey owns?,Exist
Can you tell me who is the author of 'the it support handbook'?,Exist
"According to the PDF, what is 'performance monitor'?",Exist
"According to the PDF, what is the 'language barrier' mentioned in chapter 1?",Exist
Does the PDF explain how do you fix a leaking faucet?,Not Exist
Is there information about what is the square root of 9801? in the document?,Not Exist
"According to the PDF, what is 'task manager'?",Exist
Where can I find how do you grow tomatoes in a greenhouse? in the PDF?,Not Exist
How do you fix a leaking faucet?,Not Exist
Tell me who won the super bowl in 2025?,Not Exist
I want to know what is 'chrome remote desktop'?,Exist
I want to know what is 'reliability history'?,Exist
What is 'Performance Monitor'?,Exist
What is the speed of light in a vacuum?,Not Exist
Does the PDF explain what is the lyrics to 'bohemian rhapsody'?,Not Exist
Can you tell me what are the three fundamental questions of it support mentioned in chapter 1?,Exist
Where can I find who discovered penicillin? in the PDF?,Not Exist
"According to the PDF, what does the term 'numpty' mean according to the book?",Exist
Tell me what is the largest ocean on earth?,Not Exist
Does the book mention what is the name of the 'reborn psion' device mike halsey owns?,Exist
Who is the author of 'The IT Support Handbook'?,Exist
Can you tell me what is 'reliability history'?,Exist
Is there information about who is the author of 'harry potter'? in the document?,Not Exist
Tell me how do you perform a heart transplant?,Not Exist
Where can I find what is the currency of japan? in the PDF?,Not Exist
Who is the Coordinating Editor of the book?,Exist
Can you tell me what is 'unix-verse'?,Exist
Does the PDF explain what is the meaning of life according to douglas adams?,Not Exist
Does the book mention what is 'windows vnext'?,Exist
Where can I find what is the currency of japan? in the PDF?,Not Exist
Can you tell me what is 'task manager'?,Exist
Where can I find what is the history of the great wall of china? in the PDF?,Not Exist
Tell me who discovered penicillin?,Not Exist
Can you tell me who is the author of 'the it support handbook'?,Exist
What is 'IT Support Fundamentals'?,Exist
Does the PDF explain who discovered penicillin?,Not Exist
I want to know what is 'hardware is hard wearing'?,Exist
"According to the PDF, what is 'realvnc'?",Exist
Does the PDF explain how do you grow tomatoes in a greenhouse?,Not Exist
Tell me how do you play the violin?,Not Exist
How do you grow tomatoes in a greenhouse?,Not Exist
Tell me who is the lead singer of queen?,Not Exist
Where can I find what is the largest ocean on earth? in the PDF?,Not Exist
Is there information about how many moons does jupiter have? in the document?,Not Exist
Does the book mention what is the 'problem steps recorder' used for?,Exist
Is there information about who invented the telephone? in the document?,Not Exist
Which tool is used for 'Harnessing System and Error Reporting in Windows' in Chapter 14?,Exist
What is 'Android'?,Exist
Can you tell me what is the 'language barrier' mentioned in chapter 1?,Exist
Where can I find what is the plot of the movie 'inception'? in the PDF?,Not Exist
What is the 'Human Factor' in IT support?,Exist
Does the PDF explain who is the greek god of the sea?,Not Exist
What is the population of Tokyo?,Not Exist
Where can I find who invented the telephone? in the PDF?,Not Exist
Tell me what is the square root of 9801?,Not Exist
Where can I find what is the lyrics to 'bohemian rhapsody'? in the PDF?,Not Exist
"According to the PDF, what is 'chrome remote desktop'?",Exist
"According to the PDF, what is the 'peripheral problem' discussed in chapter 9?",Exist
Where can I find what is the most popular programming language in 2026? in the PDF?,Not Exist
I want to know what is 'querying users effectively'?,Exist
"According to the PDF, what is the 'process of elimination'?",Exist
Is there information about who is the current president of france? in the document?,Not Exist
Tell me what is the most popular programming language in 2026?,Not Exist
How many moons does Jupiter have?,Not Exist
Is there information about what is the currency of japan? in the document?,Not Exist
What are the three fundamental questions of IT support mentioned in Chapter 1?,Exist
Does the book mention what is 'ip freely'?,Exist
Which remote support tool is mentioned in Chapter 16?,Exist
How do you play the violin?,Not Exist
Does the book mention what is the name of the 'reborn psion' device mike halsey owns?,Exist
Can you tell me what is 'task manager'?,Exist
Where can I find what is the plot of the movie 'inception'? in the PDF?,Not Exist
I want to know what are the names of mike halsey's rescue collies?,Exist
Who wrote 'To Kill a Mockingbird'?,Not Exist
Where can I find what is the deepest part of the ocean? in the PDF?,Not Exist
Is there information about what is the best treatment for a common cold? in the document?,Not Exist
Can you tell me what are the names of mike halsey's rescue collies?,Exist
Can you tell me what is 'it support fundamentals'?,Exist
Where can I find who won the fifa world cup in 2022? in the PDF?,Not Exist
Where can I find how do you play the violin? in the PDF?,Not Exist
Can you tell me which remote support tool is mentioned in chapter 16?,Exist
Does the PDF explain how do you code a neural network from scratch in c++?,Not Exist
What is the main ingredient in hummus?,Not Exist
Does the book mention what is 'it support methodology'?,Exist
Where can I find who is the lead singer of queen? in the PDF?,Not Exist
Does the book mention what is the title of chapter 4?,Exist
What are the three fundamental questions of IT support mentioned in Chapter 1?,Exist
Tell me what is the distance between earth and mars?,Not Exist
I want to know what is the 'xbox game bar' mentioned in chapter 18?,Exist
Can you tell me what is 'it support methodology'?,Exist
"According to the PDF, what is 'quick assist'?",Exist
Does the book mention what are the names of mike halsey's rescue collies?,Exist
I want to know which company did mike halsey work for in second-line support?,Exist
Where can I find who won the super bowl in 2025? in the PDF?,Not Exist
What is 'RealVNC'?,Exist
Tell me how do you perform a heart transplant?,Not Exist
What is 'Joining the Dots'?,Exist
I want to know what is 'ip freely'?,Exist
What is 'Task Manager'?,Exist
Does the book mention what is 'windows vnext'?,Exist
Where can I find what is the diameter of the sun? in the PDF?,Not Exist
Does the PDF explain who is the lead singer of queen?,Not Exist
In which city does Mike Halsey live?,Exist
I want to know what is 'windows vnext'?,Exist
Is there information about how do you make a paper airplane? in the document?,Not Exist
Does the PDF explain what is the main ingredient in hummus?,Not Exist
Can you tell me what is the 'xbox game bar' mentioned in chapter 18?,Exist
Is there information about how do you write a 'hello world' program in rust? in the document?,Not Exist
I want to know who is the coordinating editor of the book?,Exist
Can you tell me what is the 'process of elimination'?,Exist
I want to know what is 'flow logic' in troubleshooting?,Exist
Who invented the telephone?,Not Exist
What is the 'Language Barrier' mentioned in Chapter 1?,Exist
I want to know what is 'windows vnext'?,Exist
What is 'Hardware Is Hard Wearing'?,Exist
Does the PDF explain what is the weight of an adult elephant?,Not Exist
What is the weight of an adult elephant?,Not Exist
Does the PDF explain how many bones are in the human body?,Not Exist
Can you tell me what are the three fundamental questions of it support mentioned in chapter 1?,Exist
Who is the current President of France?,Not Exist
I want to know what is 'ip freely'?,Exist
Who invented the telephone?,Not Exist
Which publisher released 'The IT Support Handbook'?,Exist
Is there information about who won the fifa world cup in 2022? in the document?,Not Exist
"According to the PDF, who is the coordinating editor of the book?",Exist
I want to know what is the 'process of elimination'?,Exist
"According to the PDF, what is 'hardware is hard wearing'?",Exist
"According to the PDF, which publisher released 'the it support handbook'?",Exist
Does the PDF explain how do you fix a leaking faucet?,Not Exist
What is the title of Chapter 4?,Exist
Tell me what is steve jobs' favorite food?,Not Exist
Which publisher released 'The IT Support Handbook'?,Exist
Where can I find what is the most popular programming language in 2026? in the PDF?,Not Exist
Is there information about how do you bake a chocolate cake? in the document?,Not Exist
Does the book mention what is the name of the 'reborn psion' device mike halsey owns?,Exist
Is there information about who painted the mona lisa? in the document?,Not Exist
Does the book mention what is 'it support fundamentals'?,Exist
Does the PDF explain what is the weight of an adult elephant?,Not Exist
Can you tell me what is the title of chapter 18?,Exist
Is there information about what is the tallest building in the world? in the document?,Not Exist
"According to the PDF, who is the author of 'the it support handbook'?",Exist
Tell me what is the meaning of life according to douglas adams?,Not Exist
Does the PDF explain what is the currency of japan?,Not Exist
I want to know what is 'the peripheral problem'?,Exist
Can you tell me what is 'task manager'?,Exist
How do you solve a Rubik's cube?,Not Exist
Does the book mention what is 'reliability history'?,Exist
Tell me who won the super bowl in 2025?,Not Exist
"According to the PDF, what is the 'human factor' in it support?",Exist
Can you tell me in which city does mike halsey live?,Exist
Where can I find what is the history of the roman empire? in the PDF?,Not Exist
What does the term 'Numpty' mean according to the book?,Exist
What is 'IP Freely'?,Exist
Tell me who painted the mona lisa?,Not Exist
Where can I find who is the greek god of the sea? in the PDF?,Not Exist
"According to the PDF, what is 'performance monitor'?",Exist
Tell me what is the diameter of the sun?,Not Exist
What is 'Windows vNext'?,Exist
Does the PDF explain who discovered penicillin?,Not Exist
Does the PDF explain what is the history of the roman empire?,Not Exist
Can you tell me what is 'flow logic' in troubleshooting?,Exist
"According to the PDF, what is 'ip freely'?",Exist
How many moons does Jupiter have?,Not Exist
Is there information about what is steve jobs' favorite food? in the document?,Not Exist
Can you tell me what is 'system information'?,Exist
What is 'IP Freely'?,Exist
"According to the PDF, which company did mike halsey work for in second-line support?",Exist
"According to the PDF, what is 'screencasting'?",Exist
Does the book mention who is the coordinating editor of the book?,Exist
I want to know what is 'chrome remote desktop'?,Exist
Does the book mention what is 'event viewer'?,Exist
Does the book mention what is the isbn-13 for the paperback version?,Exist
Where can I find how do you play the violin? in the PDF?,Not Exist
I want to know what are the three fundamental questions of it support mentioned in chapter 1?,Exist
I want to know what is 'hardware is hard wearing'?,Exist
Tell me what is the weight of an adult elephant?,Not Exist
I want to know what is 'logmein'?,Exist
Tell me who was the first person to walk on the moon?,Not Exist
What is 'Quick Assist'?,Exist
Who is the Greek god of the sea?,Not Exist
Tell me what is the chemical formula for caffeine?,Not Exist
"According to the PDF, what is 'hardware is hard wearing'?",Exist
Where can I find who is the author of 'harry potter'? in the PDF?,Not Exist
Is there information about what is the history of the roman empire? in the document?,Not Exist
Can you tell me what is the 'asset tag'?,Exist
"According to the PDF, which publisher released 'the it support handbook'?",Exist
Where can I find what is the history of the great wall of china? in the PDF?,Not Exist
Does the PDF explain how do you code a neural network from scratch in c++?,Not Exist
Is there information about what is the lyrics to 'bohemian rhapsody'? in the document?,Not Exist
I want to know what is 'it support methodology'?,Exist
I want to know what is 'quick assist'?,Exist
Does the PDF explain how do you grow tomatoes in a greenhouse?,Not Exist
Can you tell me what was mike halsey's first computer?,Exist
Can you tell me what is 'task manager'?,Exist
Does the PDF explain what is the most popular programming language in 2026?,Not Exist
Where can I find what is the lyrics to 'bohemian rhapsody'? in the PDF?,Not Exist
How do you perform a heart transplant?,Not Exist
What is the chemical formula for caffeine?,Not Exist
Is there information about what is the deepest part of the ocean? in the document?,Not Exist
Which tool is used for 'Harnessing System and Error Reporting in Windows' in Chapter 14?,Exist
Does the book mention what is 'unix-verse'?,Exist
"According to the PDF, what is the name of the 'reborn psion' device mike halsey owns?",Exist
Where can I find how do you code a neural network from scratch in c++? in the PDF?,Not Exist
"According to the PDF, what is the 'monkey mind' mentioned in chapter 8?",Exist
"According to the PDF, what is the 'human factor' in it support?",Exist
Does the PDF explain what is the speed of light in a vacuum?,Not Exist
Where can I find what is the square root of 9801? in the PDF?,Not Exist
Tell me what is the largest ocean on earth?,Not Exist
"According to the PDF, what is 'system information'?",Exist
I want to know what was mike halsey's first computer?,Exist
Is there information about how do you train a dragon? in the document?,Not Exist
Does the book mention what was mike halsey's first computer?,Exist
Does the book mention what is 'ip freely'?,Exist
What is the plot of the movie 'Inception'?,Not Exist
Tell me who is the lead singer of queen?,Not Exist
I want to know what is 'event viewer'?,Exist
Where can I find who invented the telephone? in the PDF?,Not Exist
Does the book mention in which city does mike halsey live?,Exist
Is there information about what is the speed of light in a vacuum? in the document?,Not Exist
Tell me who is the greek god of the sea?,Not Exist
Does the PDF explain what is the chemical formula for caffeine?,Not Exist
How do you fix a leaking faucet?,Not Exist
Tell me what is the history of the great wall of china?,Not Exist
Is there information about what is the diameter of the sun? in the document?,Not Exist
Does the book mention what is the isbn-13 for the paperback version?,Exist
What is 'Android'?,Exist
"According to the PDF, what is the 'process of elimination'?",Exist
I want to know what is the 'language barrier' mentioned in chapter 1?,Exist
I want to know what is the 'process of elimination'?,Exist
Is there information about who wrote 'to kill a mockingbird'? in the document?,Not Exist
What is 'Chrome Remote Desktop'?,Exist
Does the book mention what is the 'xbox game bar' mentioned in chapter 18?,Exist
Can you tell me what is 'joining the dots'?,Exist
Is there information about what is the weight of an adult elephant? in the document?,Not Exist
Tell me what is the capital of kazakhstan?,Not Exist
"According to the PDF, what is 'screencasting'?",Exist
What is the history of the Great Wall of China?,Not Exist
Tell me how do you train a dragon?,Not Exist
Where can I find what is the recipe for lasagna? in the PDF?,Not Exist
Who won the FIFA World Cup in 2022?,Not Exist
Where can I find what is the history of the great wall of china? in the PDF?,Not Exist
Can you tell me in which city does mike halsey live?,Exist
"According to the PDF, what are the three fundamental questions of it support mentioned in chapter 1?",Exist
Can you tell me who is the coordinating editor of the book?,Exist
Does the book mention what is 'unix-verse'?,Exist
What is the 'Process of Elimination'?,Exist
Can you tell me what is 'flow logic' in troubleshooting?,Exist
I want to know what is 'joining the dots'?,Exist
I want to know what is the isbn-13 for the paperback version?,Exist
Where can I find who won the super bowl in 2025? in the PDF?,Not Exist
"According to the PDF, what is 'it support methodology'?",Exist
"According to the PDF, what is 'windows nt'?",Exist
Who discovered penicillin?,Not Exist
Tell me what is the largest ocean on earth?,Not Exist
Which tool is used for 'Harnessing System and Error Reporting in Windows' in Chapter 14?,Exist
Is there information about who is the current president of france? in the document?,Not Exist
Tell me how do you make a paper airplane?,Not Exist
Where can I find who is the ceo of tesla in 2024? in the PDF?,Not Exist
Who won the Super Bowl in 2025?,Not Exist
Does the PDF explain who is the greek god of the sea?,Not Exist
"According to the PDF, what is 'hardware is hard wearing'?",Exist
Tell me who won the fifa world cup in 2022?,Not Exist
Does the book mention who is the technical reviewer of the book?,Exist
Where can I find what is the history of the roman empire? in the PDF?,Not Exist
What is the history of the Roman Empire?,Not Exist
"According to the PDF, who is the coordinating editor of the book?",Exist
Is there information about who discovered penicillin? in the document?,Not Exist
What is the 'Peripheral Problem' discussed in Chapter 9?,Exist
"According to the PDF, what does the term 'numpty' mean according to the book?",Exist
Does the book mention who is the author of 'the it support handbook'?,Exist
Is there information about what is the capital of australia? in the document?,Not Exist
Can you tell me what is 'windows vnext'?,Exist
What is 'Screencasting'?,Exist
I want to know what is the 'peripheral problem' discussed in chapter 9?,Exist
Does the PDF explain how do you solve a rubik's cube?,Not Exist
"According to the PDF, what is the 'process of elimination'?",Exist
How do you write a 'Hello World' program in Rust?,Not Exist
Tell me what is the distance between earth and mars?,Not Exist
Is there information about how do you bake a chocolate cake? in the document?,Not Exist
Where can I find what is the capital of australia? in the PDF?,Not Exist
"According to the PDF, what is the title of chapter 18?",Exist
I want to know what is 'understanding your it system better'?,Exist
Does the book mention what is the isbn-13 for the paperback version?,Exist
Where can I find how do you make a paper airplane? in the PDF?,Not Exist
Does the book mention what is 'windows vnext'?,Exist
Where can I find who painted the mona lisa? in the PDF?,Not Exist
"According to the PDF, what is 'the peripheral problem'?",Exist
Does the book mention what is 'quick assist'?,Exist
Does the PDF explain what is the population of tokyo?,Not Exist
Does the book mention which publisher released 'the it support handbook'?,Exist
I want to know what is 'event viewer'?,Exist
Can you tell me what is 'windows vnext'?,Exist
Can you tell me what is 'reliability history'?,Exist
Where can I find how do you fix a leaking faucet? in the PDF?,Not Exist
Does the PDF explain what is the best way to learn surfing?,Not Exist
What is 'Understanding Your IT System Better'?,Exist
Is there information about what is the most popular programming language in 2026? in the document?,Not Exist
Tell me how do you train a dragon?,Not Exist
What is 'Unix-verse'?,Exist
I want to know which remote support tool is mentioned in chapter 16?,Exist
Does the PDF explain who painted the mona lisa?,Not Exist
Tell me who won the super bowl in 2025?,Not Exist
Can you tell me what is 'system information'?,Exist
Where can I find what is the currency of japan? in the PDF?,Not Exist
How do you play the violin?,Not Exist
I want to know what is the isbn-13 for the paperback version?,Exist
Who discovered penicillin?,Not Exist
Where can I find how do you code a neural network from scratch in c++? in the PDF?,Not Exist
I want to know what does the term 'numpty' mean according to the book?,Exist
"According to the PDF, what is 'hardware is hard wearing'?",Exist
Does the book mention who is the author of 'the it support handbook'?,Exist
Does the book mention what is 'logmein'?,Exist
"According to the PDF, which publisher released 'the it support handbook'?",Exist
Where can I find what is the history of the great wall of china? in the PDF?,Not Exist
Where can I find what is the plot of the movie 'inception'? in the PDF?,Not Exist
What is the 'Human Factor' in IT support?,Exist
What is the name of the 'reborn Psion' device Mike Halsey owns?,Exist
Is there information about how do you perform a heart transplant? in the document?,Not Exist
Who painted the Mona Lisa?,Not Exist
What is 'System Information'?,Exist
What is the capital of Kazakhstan?,Not Exist
Where can I find who wrote 'to kill a mockingbird'? in the PDF?,Not Exist
What does the term 'Numpty' mean according to the book?,Exist
Where can I find what is the capital of kazakhstan? in the PDF?,Not Exist
Does the PDF explain what is the recipe for lasagna?,Not Exist
What is the capital of Australia?,Not Exist
Does the PDF explain what is the boiling point of gold?,Not Exist
Can you tell me which remote support tool is mentioned in chapter 16?,Exist
Is there information about what is the capital of australia? in the document?,Not Exist
Does the PDF explain who is the lead singer of queen?,Not Exist
What is 'Task Manager'?,Exist
Is there information about what is the diameter of the sun? in the document?,Not Exist
"According to the PDF, what is 'reliability history'?",Exist
What is the 'Language Barrier' mentioned in Chapter 1?,Exist
Is there information about who discovered penicillin? in the document?,Not Exist
Does the PDF explain how do you write a 'hello world' program in rust?,Not Exist
Who invented the telephone?,Not Exist
What is 'Querying Users Effectively'?,Exist
"According to the PDF, what is 'joining the dots'?",Exist
"According to the PDF, what is 'event viewer'?",Exist
I want to know who is the coordinating editor of the book?,Exist
"According to the PDF, which remote support tool is mentioned in chapter 16?",Exist
"According to the PDF, what is 'joining the dots'?",Exist
Where can I find who is the lead singer of queen? in the PDF?,Not Exist
In which city does Mike Halsey live?,Exist
Who is the Coordinating Editor of the book?,Exist
Tell me what is the population of tokyo?,Not Exist
What is 'Performance Monitor'?,Exist
Does the book mention what is 'logmein'?,Exist
Tell me who is the lead singer of queen?,Not Exist
Is there information about who is the lead singer of queen? in the document?,Not Exist
Can you tell me what does the term 'numpty' mean according to the book?,Exist
What is the 'Monkey Mind' mentioned in Chapter 8?,Exist
What is the main ingredient in hummus?,Not Exist
Who is the Greek god of the sea?,Not Exist
Tell me what is the main ingredient in hummus?,Not Exist
Is there information about what is the recipe for lasagna? in the document?,Not Exist
How do you fix a leaking faucet?,Not Exist
Does the book mention what is 'it support fundamentals'?,Exist
Does the book mention what are the three fundamental questions of it support mentioned in chapter 1?,Exist
